,test_subject,train_subjects,accuracy,f1_score
0,[29],"[31, 33, 45, 46, 34, 37, 39, 38, 43, 35, 36, 44, 34, 32]",79.89,79.13
1,[30],"[29, 33, 45, 46, 34, 37, 39, 38, 43, 35, 36, 44, 34, 32]",65.56,65.56
2,[31],"[29, 30, 45, 46, 34, 37, 39, 38, 43, 35, 36, 44, 34, 32]",77.78,76.25
3,[33],"[29, 30, 31, 46, 34, 37, 39, 38, 43, 35, 36, 44, 34, 32]",69.41,67.85
4,[45],"[29, 30, 31, 33, 34, 37, 39, 38, 43, 35, 36, 44, 34, 32]",29.63,27.13
5,[46],"[29, 30, 31, 33, 45, 37, 39, 38, 43, 35, 36, 44, 32]",87.8,76.34
6,[34],"[29, 30, 31, 33, 45, 46, 39, 38, 43, 35, 36, 44, 32]",81.95,81.46
7,[37],"[29, 30, 31, 33, 45, 46, 34, 38, 43, 35, 36, 44, 34, 32]",88.98,87.93
8,[39],"[29, 30, 31, 33, 45, 46, 34, 37, 43, 35, 36, 44, 34, 32]",82.95,78.35
9,[38],"[29, 30, 31, 33, 45, 46, 34, 37, 39, 35, 36, 44, 34, 32]",80.21,77.24
10,[43],"[29, 30, 31, 33, 45, 46, 34, 37, 39, 38, 36, 44, 34, 32]",85.22,76.2
11,[35],"[29, 30, 31, 33, 45, 46, 34, 37, 39, 38, 43, 44, 34, 32]",81.86,79.9
12,[36],"[29, 30, 31, 33, 45, 46, 34, 37, 39, 38, 43, 35, 34, 32]",77.4,76.4
13,[44],"[29, 30, 31, 33, 45, 46, 37, 39, 38, 43, 35, 36, 32]",79.71,71.22
14,[34],"[29, 30, 31, 33, 45, 46, 37, 39, 38, 43, 35, 36, 44]",83.75,83.41
